,shopName,page,username,user-icon,stars,user-comment,user-comment-time,user-comment-zan
35,非烤勿扰自助烤肉海鲜火锅（合胜店）,4,匿名用户,https://www.dpfile.com/ugc/user/anonymous.png,50,"【口味】还可以
【环境】还可以
【服务】还可以
【等位】去的早没有等。总的来说还可以",1574226515878,0
36,非烤勿扰自助烤肉海鲜火锅（合胜店）,4,LkA117324539,,50,西式点心比较多，也很好吃，肉类也有很多，完全可以吃饱的那种。好评(o^^o),1573902829266,0
37,非烤勿扰自助烤肉海鲜火锅（合胜店）,4,ePY742217243,,10,有事先走，然后说押金随后返还就好，到现在都没收到，真的醉了,1573953139850,0
38,非烤勿扰自助烤肉海鲜火锅（合胜店）,4,Strawberry尼别走,,20,这是借助之前团购的来评价今晚的事。我们四大一小去的非烤，还没上餐具什么的，刚好有两桌客人已经结账离开，我就要求服务人帮我把桌子收拾一下。她跟我说那桌还有客人，我说那桌的客人已经撤单结账了，她又跟我说 那你们不能坐另外一张桌子？我又跟她解释，这里刚好有风扇，我们要求你收拾一下不过分吧。然后……她就很不耐烦的让我们全部起来，说了句 “那你们全都离开啊”我们已经打算离桌让服务员收拾。这位服务员拿来一个大桶 敲碗打碟的霹雳吧啦。看到这情况 换谁都心里不舒服，我直接跟她说了句，让他干脆把碗碟打碎算了。我就麻烦你收拾一下桌子，你有什么不方便的可以跟我解释，可是你这样在客服面前这么不满的，真的换谁都不舒服。之前没团购去过几次，以后也不会再去了，也幸好之前团购过一次，才可以有机会让我把今晚这情况道明。事实那里其他工作人员还是很友善，东西也不断的更新 东西也是不错,1564757430751,7
39,非烤勿扰自助烤肉海鲜火锅（合胜店）,4,qMR277584817,,30,菜品丰富，食材新鲜，需要改进一下：冰箱不凉，饮料都不冰的，饮料的选择也比较少。水果区跟点心区发现小只的蟑螂，这点有些失望😞,1566995260922,0
40,非烤勿扰自助烤肉海鲜火锅（合胜店）,5,Afv558270745,https://img.meituan.net/avatar/7724cb731510e2cdfcf0542216b97b0a724627.jpg,30,就餐环境可以，适合情侣，可以增加彼此的感情，价格可以菜品种类很多，有肉类蔬菜沙拉，饮料选择范围也广。服务员招手即停，态度都很不错。菜类味道可以。自助烧烤很不错。去的人也很多。点心之类都蛮新鲜，总而言之都可以。 #肥牛肉# #烤肉# #鱿鱼金针菇# #黑椒猪排# #果汁饮料# #鸡翅尖# #紫菜包饭# #蔬菜# #牛肉金针菇#,1567488378873,1
41,非烤勿扰自助烤肉海鲜火锅（合胜店）,5,FBZ723386460,,50,"味道超赞，晚上去刚好有座位，可能来的早吧，不用排队，之后就看到门口好多人排队了！
【口味】有太多都是我喜欢吃的/味道也好吃
【环境】店铺好大，不过有点拿菜要跑好远
【服务】服务好，换纸也勤快感受很不错
【等位】不用等我好开心重点推荐一下五花肉好吃 #骨肉相连# #肥牛肉# #培根# #火锅汤# #龙利鱼# #圣女果# #火龙果# #扇贝# #肉卷# #骨汤# #寿司紫菜卷# #泡菜# #黑椒猪排#",1564811265609,1
42,非烤勿扰自助烤肉海鲜火锅（合胜店）,5,我是你的谁吖,https://img.meituan.net/avatar/ab00069d6f86b88bf25bba40b5a2de7513076.jpg,10,吃了好几种肉，都是猪肉做的，猪肉卷做的很像肥牛卷一样，然后环境一般，说好评加一个小锅在店里用，就是煮东西的那种！然后我没评论就不送，要加钱买，纸巾都没有送，还要买！这种店怎么开下去的！很多人都是好评贪小便宜，送个小锅底！收费还69一个人！肉类都是猪肉做的，好难吃，水果很不新鲜！吃起来有怪味！然后豆泡也是特别硬，感觉放了好久的！最后吃完还吐了！肉是真的假，那个方便面都黑了还不换！还有就是功率太小，烤肉特别慢！真的是差，以后绝对不吃这家，而且生意还不错，我就非常纳闷了！肯定是为了贪小便宜，给好评拉了那么多顾客！,1564926522113,4
43,非烤勿扰自助烤肉海鲜火锅（合胜店）,5,XjK876383696,,50,第二次过来这边吃烤肉，昨天吃一次 今天又过来吃一次 环境不错 关键是肉好吃 真美味😍服务态度很好 小姐姐笑起来真好看 推荐雪花肥牛 兔肉 鸡肉  还有还有鱼丸😌,1567585001381,1
44,非烤勿扰自助烤肉海鲜火锅（合胜店）,5,匿名用户,https://www.dpfile.com/ugc/user/anonymous.png,50,"【口味】还可以
【环境】还可以
【服务】还可以
【等位】去的早没有等。总的来说还可以",1574226515878,0
45,非烤勿扰自助烤肉海鲜火锅（合胜店）,5,LkA117324539,,50,西式点心比较多，也很好吃，肉类也有很多，完全可以吃饱的那种。好评(o^^o),1573902829266,0
46,非烤勿扰自助烤肉海鲜火锅（合胜店）,5,ePY742217243,,10,有事先走，然后说押金随后返还就好，到现在都没收到，真的醉了,1573953139850,0
47,非烤勿扰自助烤肉海鲜火锅（合胜店）,5,Strawberry尼别走,,20,这是借助之前团购的来评价今晚的事。我们四大一小去的非烤，还没上餐具什么的，刚好有两桌客人已经结账离开，我就要求服务人帮我把桌子收拾一下。她跟我说那桌还有客人，我说那桌的客人已经撤单结账了，她又跟我说 那你们不能坐另外一张桌子？我又跟她解释，这里刚好有风扇，我们要求你收拾一下不过分吧。然后……她就很不耐烦的让我们全部起来，说了句 “那你们全都离开啊”我们已经打算离桌让服务员收拾。这位服务员拿来一个大桶 敲碗打碟的霹雳吧啦。看到这情况 换谁都心里不舒服，我直接跟她说了句，让他干脆把碗碟打碎算了。我就麻烦你收拾一下桌子，你有什么不方便的可以跟我解释，可是你这样在客服面前这么不满的，真的换谁都不舒服。之前没团购去过几次，以后也不会再去了，也幸好之前团购过一次，才可以有机会让我把今晚这情况道明。事实那里其他工作人员还是很友善，东西也不断的更新 东西也是不错,1564757430751,7
48,非烤勿扰自助烤肉海鲜火锅（合胜店）,5,qMR277584817,,30,菜品丰富，食材新鲜，需要改进一下：冰箱不凉，饮料都不冰的，饮料的选择也比较少。水果区跟点心区发现小只的蟑螂，这点有些失望😞,1566995260922,0
49,非烤勿扰自助烤肉海鲜火锅（合胜店）,5,匿名用户,https://www.dpfile.com/ugc/user/anonymous.png,30,味道一般，环境还行！！！！！！！,1574056342069,0
50,非烤勿扰自助烤肉海鲜火锅（合胜店）,6,FBZ723386460,,50,"味道超赞，晚上去刚好有座位，可能来的早吧，不用排队，之后就看到门口好多人排队了！
【口味】有太多都是我喜欢吃的/味道也好吃
【环境】店铺好大，不过有点拿菜要跑好远
【服务】服务好，换纸也勤快感受很不错
【等位】不用等我好开心重点推荐一下五花肉好吃 #骨肉相连# #肥牛肉# #培根# #火锅汤# #龙利鱼# #圣女果# #火龙果# #扇贝# #肉卷# #骨汤# #寿司紫菜卷# #泡菜# #黑椒猪排#",1564811265609,1
51,非烤勿扰自助烤肉海鲜火锅（合胜店）,6,我是你的谁吖,https://img.meituan.net/avatar/ab00069d6f86b88bf25bba40b5a2de7513076.jpg,10,吃了好几种肉，都是猪肉做的，猪肉卷做的很像肥牛卷一样，然后环境一般，说好评加一个小锅在店里用，就是煮东西的那种！然后我没评论就不送，要加钱买，纸巾都没有送，还要买！这种店怎么开下去的！很多人都是好评贪小便宜，送个小锅底！收费还69一个人！肉类都是猪肉做的，好难吃，水果很不新鲜！吃起来有怪味！然后豆泡也是特别硬，感觉放了好久的！最后吃完还吐了！肉是真的假，那个方便面都黑了还不换！还有就是功率太小，烤肉特别慢！真的是差，以后绝对不吃这家，而且生意还不错，我就非常纳闷了！肯定是为了贪小便宜，给好评拉了那么多顾客！,1564926522113,4
52,非烤勿扰自助烤肉海鲜火锅（合胜店）,6,XjK876383696,,50,第二次过来这边吃烤肉，昨天吃一次 今天又过来吃一次 环境不错 关键是肉好吃 真美味😍服务态度很好 小姐姐笑起来真好看 推荐雪花肥牛 兔肉 鸡肉  还有还有鱼丸😌,1567585001381,1
53,非烤勿扰自助烤肉海鲜火锅（合胜店）,6,匿名用户,https://www.dpfile.com/ugc/user/anonymous.png,50,"【口味】还可以
【环境】还可以
【服务】还可以
【等位】去的早没有等。总的来说还可以",1574226515878,0
54,非烤勿扰自助烤肉海鲜火锅（合胜店）,6,LkA117324539,,50,西式点心比较多，也很好吃，肉类也有很多，完全可以吃饱的那种。好评(o^^o),1573902829266,0
55,非烤勿扰自助烤肉海鲜火锅（合胜店）,6,ePY742217243,,10,有事先走，然后说押金随后返还就好，到现在都没收到，真的醉了,1573953139850,0
56,非烤勿扰自助烤肉海鲜火锅（合胜店）,6,Strawberry尼别走,,20,这是借助之前团购的来评价今晚的事。我们四大一小去的非烤，还没上餐具什么的，刚好有两桌客人已经结账离开，我就要求服务人帮我把桌子收拾一下。她跟我说那桌还有客人，我说那桌的客人已经撤单结账了，她又跟我说 那你们不能坐另外一张桌子？我又跟她解释，这里刚好有风扇，我们要求你收拾一下不过分吧。然后……她就很不耐烦的让我们全部起来，说了句 “那你们全都离开啊”我们已经打算离桌让服务员收拾。这位服务员拿来一个大桶 敲碗打碟的霹雳吧啦。看到这情况 换谁都心里不舒服，我直接跟她说了句，让他干脆把碗碟打碎算了。我就麻烦你收拾一下桌子，你有什么不方便的可以跟我解释，可是你这样在客服面前这么不满的，真的换谁都不舒服。之前没团购去过几次，以后也不会再去了，也幸好之前团购过一次，才可以有机会让我把今晚这情况道明。事实那里其他工作人员还是很友善，东西也不断的更新 东西也是不错,1564757430751,7
57,非烤勿扰自助烤肉海鲜火锅（合胜店）,6,qMR277584817,,30,菜品丰富，食材新鲜，需要改进一下：冰箱不凉，饮料都不冰的，饮料的选择也比较少。水果区跟点心区发现小只的蟑螂，这点有些失望😞,1566995260922,0
58,非烤勿扰自助烤肉海鲜火锅（合胜店）,6,匿名用户,https://www.dpfile.com/ugc/user/anonymous.png,30,味道一般，环境还行！！！！！！！,1574056342069,0
59,非烤勿扰自助烤肉海鲜火锅（合胜店）,6,LkA117324539,,50,这里可以随便吃也可以休息，真的很棒的体验。,1573902956172,0
60,非烤勿扰自助烤肉海鲜火锅（合胜店）,7,我是你的谁吖,https://img.meituan.net/avatar/ab00069d6f86b88bf25bba40b5a2de7513076.jpg,10,吃了好几种肉，都是猪肉做的，猪肉卷做的很像肥牛卷一样，然后环境一般，说好评加一个小锅在店里用，就是煮东西的那种！然后我没评论就不送，要加钱买，纸巾都没有送，还要买！这种店怎么开下去的！很多人都是好评贪小便宜，送个小锅底！收费还69一个人！肉类都是猪肉做的，好难吃，水果很不新鲜！吃起来有怪味！然后豆泡也是特别硬，感觉放了好久的！最后吃完还吐了！肉是真的假，那个方便面都黑了还不换！还有就是功率太小，烤肉特别慢！真的是差，以后绝对不吃这家，而且生意还不错，我就非常纳闷了！肯定是为了贪小便宜，给好评拉了那么多顾客！,1564926522113,4
61,非烤勿扰自助烤肉海鲜火锅（合胜店）,7,XjK876383696,,50,第二次过来这边吃烤肉，昨天吃一次 今天又过来吃一次 环境不错 关键是肉好吃 真美味😍服务态度很好 小姐姐笑起来真好看 推荐雪花肥牛 兔肉 鸡肉  还有还有鱼丸😌,1567585001381,1
62,非烤勿扰自助烤肉海鲜火锅（合胜店）,7,匿名用户,https://www.dpfile.com/ugc/user/anonymous.png,50,"【口味】还可以
【环境】还可以
【服务】还可以
【等位】去的早没有等。总的来说还可以",1574226515878,0
63,非烤勿扰自助烤肉海鲜火锅（合胜店）,7,LkA117324539,,50,西式点心比较多，也很好吃，肉类也有很多，完全可以吃饱的那种。好评(o^^o),1573902829266,0
64,非烤勿扰自助烤肉海鲜火锅（合胜店）,7,ePY742217243,,10,有事先走，然后说押金随后返还就好，到现在都没收到，真的醉了,1573953139850,0
65,非烤勿扰自助烤肉海鲜火锅（合胜店）,7,Strawberry尼别走,,20,这是借助之前团购的来评价今晚的事。我们四大一小去的非烤，还没上餐具什么的，刚好有两桌客人已经结账离开，我就要求服务人帮我把桌子收拾一下。她跟我说那桌还有客人，我说那桌的客人已经撤单结账了，她又跟我说 那你们不能坐另外一张桌子？我又跟她解释，这里刚好有风扇，我们要求你收拾一下不过分吧。然后……她就很不耐烦的让我们全部起来，说了句 “那你们全都离开啊”我们已经打算离桌让服务员收拾。这位服务员拿来一个大桶 敲碗打碟的霹雳吧啦。看到这情况 换谁都心里不舒服，我直接跟她说了句，让他干脆把碗碟打碎算了。我就麻烦你收拾一下桌子，你有什么不方便的可以跟我解释，可是你这样在客服面前这么不满的，真的换谁都不舒服。之前没团购去过几次，以后也不会再去了，也幸好之前团购过一次，才可以有机会让我把今晚这情况道明。事实那里其他工作人员还是很友善，东西也不断的更新 东西也是不错,1564757430751,7
66,非烤勿扰自助烤肉海鲜火锅（合胜店）,7,qMR277584817,,30,菜品丰富，食材新鲜，需要改进一下：冰箱不凉，饮料都不冰的，饮料的选择也比较少。水果区跟点心区发现小只的蟑螂，这点有些失望😞,1566995260922,0
67,非烤勿扰自助烤肉海鲜火锅（合胜店）,7,匿名用户,https://www.dpfile.com/ugc/user/anonymous.png,30,味道一般，环境还行！！！！！！！,1574056342069,0
68,非烤勿扰自助烤肉海鲜火锅（合胜店）,7,LkA117324539,,50,这里可以随便吃也可以休息，真的很棒的体验。,1573902956172,0
69,非烤勿扰自助烤肉海鲜火锅（合胜店）,7,LkA117324539,,50,菜类众多，任君挑选。,1573902905455,0
